ID,lat,lon
AVA367,-3.7051741,-38.5699249
AVA368,-3.7063214,-38.5626332
AVA369,-3.7321792,-38.5718512
AVA370,-3.69992,-38.5787561
AVA371,-3.7123463,-38.5492365
AVA372,-3.726148,-38.51909
AVA373,-3.7221114,-38.5573698
AVA374,-3.7013453,-38.581918
AVA375,-3.7072103,-38.567221
AVA376,-3.6997108,-38.5848444
AVA377,-3.7264042,-38.5453578
AVA378,-3.7175252,-38.54846
AVA379,-3.7163586,-38.5714569
AVA380,-3.7177048,-38.5688235
AVA381,-3.715341,-38.578102
AVA382,-3.7036753,-38.5759728
AVA383,-3.7354317,-38.5495824
AVA384,-3.8955685,-38.6122609
AVA385,-3.8271232,-38.4563395
AVA386,-3.6999155,-38.5766213
AVA387,-3.7005941,-38.5759878
AVA388,-3.7081646,-38.5874404
AVA389,-3.7238043,-38.5635362
AVA390,-3.700368,-38.5831314
AVA391,-3.7050335,-38.5751726
AVA392,-3.7170908,-38.5520121
AVA393,-3.7229456,-38.5566365
AVA394,-3.736604,-38.5508864
AVA395,-3.7322104,-38.5645697
AVA396,-3.6986904,-38.5831731
AVA397,-3.7204853,-38.5565417
AVA398,-3.717554,-38.5701309
AVA399,-3.7036012,-38.5740248
AVA400,-3.709523,-38.567733
AVA401,-3.7020468,-38.5744801
AVA402,-3.7004171,-38.5766713
AVA403,-3.7270437,-38.5732997
AVA404,-3.7240048,-38.5759592
AVA405,-3.7101944,-38.5616495
AVA406,-3.7925284,-38.5469448
AVA407,-3.7155551,-38.5559367
AVA408,-3.7169586,-38.5771878
AVA409,-3.7191004,-38.562223
AVA410,-3.7447419,-38.558812
AVA411,-3.7811522,-38.5773971
AVA412,-3.7649086,-38.4860462
AVA413,-3.7083195,-38.568689
AVA414,-3.7027862,-38.5731821
AVA415,-3.705673,-38.5697419
AVA416,-3.7033501,-38.5747325
AVA417,-3.7098714,-38.5597879
AVA418,-3.7033537,-38.5735915
AVA419,-3.7033537,-38.5735915
AVA420,-3.7058127,-38.5696878
